Tree number	size	Clan 1	Clan 2	Clan 3	Clan 4	Clan 5	Clan 6	Clan 7	Clan 8	boot_average	boot_max	boot_min	boot_stdev
Tree 222	22	0	0	0	0	0	1	1	0	60.631580	99.000000	10.000000	29.689995
Tree 223	17	0	0	0	0	0	?	0	0	58.714287	100.000000	17.000000	24.054785
Tree 224	17	0	0	0	?	0	0	1	0	51.357143	91.000000	15.000000	21.688072
Tree 225	18	0	0	0	0	0	0	1	0	50.066666	88.000000	8.000000	21.603910
Tree 226	18	0	1	0	1	0	?	1	1	73.066666	100.000000	26.000000	22.457268
Tree 227	18	0	0	0	1	1	0	1	1	47.599998	100.000000	18.000000	23.885281
Tree 228	17	0	0	0	0	0	0	0	0	57.857143	100.000000	30.000000	19.438023
Tree 229	22	0	0	0	0	0	0	0	0	53.421051	100.000000	20.000000	22.259987
Tree 230	19	0	0	0	?	0	?	0	0	40.875000	90.000000	15.000000	21.017477
Tree 231	16	0	0	0	?	0	0	0	0	45.923077	100.000000	16.000000	22.622187
Tree 232	23	0	0	0	0	1	0	1	0	65.800003	100.000000	30.000000	21.528122
Tree 233	16	0	0	0	0	0	?	1	1	67.000000	99.000000	33.000000	21.711393
Tree 234	18	0	0	0	0	0	?	0	0	55.866665	83.000000	18.000000	18.051287
Tree 235	16	0	0	0	?	0	0	0	0	56.846153	100.000000	27.000000	20.702457
Tree 236	20	0	0	0	0	0	0	0	1	56.588234	100.000000	11.000000	28.594648
Tree 237	17	0	0	0	?	0	?	1	0	57.571430	100.000000	20.000000	24.665520
Tree 238	23	0	1	0	0	0	0	1	1	52.299999	98.000000	13.000000	23.149731
Tree 239	16	0	0	0	1	0	?	0	0	67.538460	100.000000	35.000000	21.403147
Tree 240	18	0	0	0	0	0	0	0	0	59.666668	100.000000	17.000000	22.720524
Tree 241	23	0	1	0	0	1	0	0	0	52.950001	94.000000	21.000000	22.098587
Tree 242	17	0	0	0	?	0	0	0	0	45.500000	93.000000	5.000000	29.043686
Tree 243	20	0	1	0	1	0	0	1	1	67.588234	100.000000	30.000000	19.122082
Tree 244	22	0	0	0	0	0	0	0	0	47.052631	100.000000	9.000000	25.236719
Tree 245	21	0	0	0	?	0	0	0	0	49.833332	98.000000	7.000000	25.406145
Tree 246	19	0	0	0	?	0	0	1	0	45.062500	81.000000	10.000000	19.838312
Tree 247	17	0	0	0	0	0	0	1	0	50.500000	93.000000	13.000000	23.897848
Tree 248	16	0	0	0	1	0	?	0	0	56.153847	100.000000	37.000000	19.844961
Tree 249	20	1	1	0	0	0	1	1	0	48.647060	99.000000	16.000000	25.127769
Tree 250	22	0	0	0	1	0	0	0	0	47.000000	100.000000	11.000000	25.602221
Tree 251	18	0	0	0	0	0	?	1	0	42.799999	98.000000	12.000000	23.855679
Tree 252	16	0	0	0	?	1	0	1	0	47.461540	100.000000	19.000000	24.790245
